date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-04-03,,,0,83560,43588,37035,32834,18981,12346,43986,59668,8822,11404,16961,32727,37852,52966,22052,29711,32436,35871,14212,19109,36943,44707,31336,22020,82394,68378,466570,465329,,,,,
2017-04-04,,,0,79258,45259,37424,34182,18062,12627,45018,60954,9351,11243,18812,33213,39668,52206,24470,29932,33744,35085,15537,19201,40604,44160,32770,21753,79879,73575,474597,473390,,,,,
2017-04-05,,,0,77629,44603,35237,33342,17158,12448,43243,61779,8717,10735,17727,32078,39198,50982,23903,28783,33086,33973,14918,18204,39381,43344,32647,21046,81683,71797,464527,463114,6:12 AM,"Provisional service lifted, normal operations resumed 06:12am",North Bound,Boni Avenue - Shaw Boulevard,CAT 1
2017-04-06,,,0,78407,45267,36476,33819,16843,12508,43257,61413,8346,10841,17609,32621,38751,51344,23603,28652,33483,34108,15439,18768,39049,43964,32785,20977,79031,67761,463079,462043,5:43 AM,Service interruption experienced due to technical problem. Provisional service implemented  at North Ave - Shaw Blvd Stations 05:45am.,North Bound,Boni Avenue - Shaw Boulevard,CAT 4
2017-04-07,,,0,80821,48532,37682,34402,18036,12922,45929,66623,8911,11084,18611,34604,40255,54082,24877,28972,34949,35038,16083,19006,41739,45712,35471,21734,82832,72077,486196,484788,5:30 PM,Train unloaded pax at Ortigas Stn SB at 5:30pm due to technical problem. ,South Bound,Ortigas,CAT 3
2017-04-08,,,0,53439,37337,23492,22362,10495,8648,38609,54761,4754,6252,9831,19400,29313,36602,16582,16762,28507,25733,8032,8176,27320,27428,22063,11712,59484,55655,331921,330828,4:07 PM,Train unloaded pax at Boni Stn NB at 4:07pm due to technical problem.,North Bound,Boni Avenue,CAT 3
2017-04-09,1,Araw ng Kagitingan ,0,35760,21865,13421,10992,6411,4051,26124,30268,2435,3533,5062,11378,17920,22512,9378,10910,17696,18230,2687,3870,15055,18221,9391,6674,39447,37563,200787,200067,,,,,
2017-04-10,,,0,81251,43163,35911,31902,17852,11800,42702,58652,8289,10853,17149,32426,37191,50863,21485,28426,31669,34709,14268,18903,36226,43635,30743,21618,79966,66384,454702,453334,,,,,
2017-04-11,,,0,75032,42556,34294,30373,15655,11203,40524,58256,8317,10187,16996,30646,37919,52169,21742,27445,31017,32133,14958,18287,37076,41641,30966,19835,74286,62407,438782,437138,3:30 PM,Train unloaded pax at Ortigas stn SB at 330pm due to technical problem.,South Bound,Ortigas,CAT 3
2017-04-12,,,0,72651,47219,32854,30420,14314,11806,41899,68546,7489,8751,16925,28883,37189,47181,21608,25055,32401,29590,13786,15718,37158,38896,32614,18310,77546,66524,438434,436899,10:00 PM,Provisional service was lifted and normal operation resumed at 10:00pm.,South Bound,Magallanes,CAT 1
2017-04-13,1,Maundy Thursday,0,77403.6666666667,45198.6666666667,36260.6666666667,33193.3333333333,16825.3333333333,12548,42842,61873.6666666667,8484.6666666667,10654.6666666667,17863,32366.3333333333,38745.3333333333,51017.6666666667,23547.6666666667,28452,32597.6666666667,33433.3333333333,14905.3333333333,18243.6666666667,38939,43829,33776.3333333333,20910.6666666667,78091.6666666667,67137,460282.333333333,458858,,,,,
2017-04-14,1,Good Friday,0,70045,41305.3333333333,31395.6666666667,27652.6666666667,14508.3333333333,10282.3333333333,39350.3333333333,56636.3333333333,6997.3333333333,8750.3333333333,15385.3333333333,29212,34983,49087.6666666667,20283.6666666667,23335.6666666667,29080.6666666667,28737.6666666667,12005.6666666667,14273,34052,37167.6666666667,28071,16583.6666666667,67741.3333333333,59595.3333333333,403899.333333333,402619.666666667,,,,,
2017-04-15,1,Black Saturday ,0,51618,36024.25,22923,21699.5,10086.25,8301,36304.75,51741.5,4595.75,6040.25,9460.75,18852.5,28618.5,35822.75,15848.75,16091.25,27305.75,24417.25,7583,7661.75,25937,26302.25,21391.25,11421,57055.25,53280.25,318728,317655.5,,,,,
2017-04-16,,,4,35805.5,22207.5,13363.5,11318,6606,4415.75,26320.75,31125.5,2447.5,3510.75,5041,11417.75,17964.25,22694,9520.75,10601.75,17912,18100.75,2804.25,3830,14989.75,17991,9457.75,6474,39729.75,37660.75,201962.75,201347.5,,,,,
2017-04-17,,,0,77287,40778,33789,29623,15278,10764,40721,53686,8218,10183,15362,29316,35276,51069,19652,26191,29144,33001,12890,17223,30986,40379,28205,19552,74263,59870,421071,421635,8:48 PM,Service interruption experienced due to technical problem at 8:48pm. Provisional service implemented from North Ave - Shaw Blvd Station and vice versa at 9:00pm.,South Bound,Magallanes,CAT 4
2017-04-18,,,0,72229,38329,33161,29724,16393,11626,39538,53136,7968,12005,16362,29862,36966,55873,22138,27440,30754,32074,14379,17493,36134,40949,31771,19786,76476,64125,434269,432422,1:46 PM,Train unloaded passengers due to a technical problem.,North Bound,Magallanes,CAT 2
2017-04-19,,,3,73598,43055,35078,32496,16562,12199,39637,58458,8269,10207,17090,30255,37057,48826,23179,28283,31588,32795,13909,17564,37690,41224,31897,19803,78000,66849,443554,442014,6:32 AM,MRT-3 resumed normal operation.,North Bound,Magallanes - Ayala Avenue,CAT 4
2017-04-20,,,37,75390,43404,35353,32157,16450,12048,41376,58653,8330,10367,17160,31041,37473,49078,22893,28120,31488,33168,14210,18052,37026,42520,32226,20374,77636,66493,447011,445475,5:56 AM,Provisional Service implemented from North Avenue to Shaw Blvd Stn & vice versa at 5:56am due to tracks failure.,North Bound,Magallanes - Ayala Avenue,CAT 4
2017-04-21,,,0,78241,45809,36209,33011,17199,12596,42419,64498,8510,10538,18144,32781,39755,51625,23896,28267,33060,33222,15311,18651,40784,44693,34710,20658,80250,70515,468488,466864,1:54 PM,Train unloaded pax at Boni Station SB at 1:54pm due to technical problem.,South Bound,Boni Avenue,CAT 3
2017-04-22,,,25,51287,36550,22931,21688,10512,8387,36578,51504,4834,6029,9553,18498,28576,35734,16105,16306,26846,23989,8059,8044,26801,27350,21495,11610,56844,53567,320421,319256,,,,,
2017-04-23,,,1,35357,22129,13242,11675,6699,4607,26050,30766,2487,3532,4732,10425,17665,22095,9497,10729,17861,18119,2817,3917,15033,17957,9483,6498,39457,37185,200380,199634,,,,,
2017-04-24,,,0,79622,42733,35019,31122,17571,11831,39565,56999,8397,10025,16771,30470,36681,52233,21416,28076,30194,32797,14191,17518,35761,39978,30873,20454,74782,64643,440843,438879,12:14 PM,Train unloaded passengers at Santolan Station SB at 12:14 PM due to technical problem. ,South Bound,Santolan Anapolis,CAT 2
2017-04-25,,,0,76882,44598,35827,33183,17318,12682,41837,59921,8804,11090,17818,31447,37981,50299,23325,28540,32454,34221,14970,18543,38997,43250,33957,21598,78283,67401,458453,456773,7:22 AM,Train unloaded passengers at Cubao Station SB at 7:22 AM due to technical problem.,South Bound,Cubao,CAT 3
2017-04-26,,,0,77921,46661,36202,33600,17586,13014,42227,62471,9160,11025,19196,33684,40698,52926,24529,29492,33944,34994,16280,19097,41818,44554,35338,21901,82158,72085,477057,475504,,,,,
2017-04-27,,,19,78414,46925,36953,33604,17183,13088,43893,65555,8778,10756,18820,33437,40012,52631,24147,28584,32822,33024,15067,17911,40742,45003,36318,21381,77608,67157,470757,469056,7:30 PM,Peak hour period extended by Management to around 8:30PM.,North Bound,North Avenue - Taft Avenue,CAT 1
2017-04-28,,,0,51073,29575,20296,15545,8290,5329,29703,38788,3571,4629,9401,20251,24939,41556,12078,12768,19233,17953,4623,5162,19633,21098,14032,7359,40142,36194,257014,256207,4:36 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-04-29,,,0,48229,32433,21564,20257,9008,7348,32804,46637,3877,5369,8860,18732,26568,33818,13747,13812,25054,22269,6145,6468,22329,23307,19558,10228,51995,48110,289738,288788,,,,,
2017-04-30,,,0,34406,21633,12678,10699,5957,4253,24913,30599,2303,3256,5272,12469,17678,22544,9241,9514,17258,16558,2654,3426,14149,16631,9121,5888,38706,36276,194336,193746,5:33 AM,Train unloaded passengers at Santolan Station SB at 5:33AM due to technical problem.,South Bound,Santolan Anapolis,CAT 3
2017-05-01,1, Labor Day ,0,38947,19797,13478,10912,6884,3687,24731,28128,2204,3086,4661,12348,16268,23062,8435,11585,14971,17497,2547,4891,13843,19726,9323,7809,39499,32685,195791,195213,,,,,
2017-05-02,,,0,80481,45090,36732,33760,18371,12612,41746,62405,8958,11295,18076,31546,39736,52076,23803,29750,33037,36431,15096,19265,39641,43466,34276,22114,83484,72096,473437,471906,,,,,
2017-05-03,,,1,76578,44418,36106,33243,17207,12482,41444,60924,8835,11058,17907,31471,38786,50577,23969,28967,33202,34636,14776,18426,38553,43100,33258,21306,83631,72211,464252,462819,,,,,
2017-05-04,,,0,75241,43603,35294,32973,16400,12262,40073,58984,8558,10705,17397,31069,38316,49647,23295,28315,32508,33551,14709,18510,38572,42564,31997,20941,78685,66837,451045,449961,,,,,
2017-05-05,,,0,78639,46482,36661,33696,17257,12751,42461,64979,8935,10801,18907,32955,38963,52106,24234,28320,34017,33909,15251,18687,40528,44885,35012,21329,82476,70887,473341,471787,12:45 PM,Train unloaded pax at Ortigas Stn NB at 12:45 PM due to technical problem. ,North Bound,Ortigas,CAT 3
2017-05-06,,,0,52593,36151,22935,21350,10197,8366,37772,53370,4735,6041,9780,18386,28893,35692,16078,15751,26542,25010,8023,7945,26120,26599,21686,11795,58598,56051,323952,322507,,,,,
2017-05-07,,,2,37038,23072,13391,11325,6719,4526,27048,30927,2433,3406,5110,10775,18319,22532,9477,10859,17610,18199,2852,3796,15058,17959,9339,6682,40226,39982,204620,204040,,,,,
2017-05-08,,,0,78952,41774,36193,31731,17693,11864,39450,57096,8171,10425,16912,30968,36804,49906,21402,28122,31255,34556,13527,18256,35207,42583,30843,21426,79918,66271,446327,444978,10:46 AM,MRT3 resumed normal operation at 10:46am. ,North Bound,Ortigas,CAT 1
2017-05-09,,,0,76283,43223,35384,32648,16657,12071,38137,58833,8620,10430,17566,30568,38001,48910,22872,27706,31114,33537,14110,18030,37580,42366,32355,20990,79549,67564,448228,446876,,,,,
2017-05-10,,,0,76471,44339,35465,32693,16774,12252,41042,59004,8671,11015,17730,31140,38186,50364,23514,28215,32720,33805,14286,18183,37801,43122,33231,21062,80456,69433,456347,454627,10:42 AM,Train unloaded pax at Ortigas Stn NB at 10:42am due to technical problem.,North Bound,Ortigas,CAT 4
2017-05-11,,,0,75409,43699,34971,32635,16201,12089,40891,59310,8393,10825,17531,31253,37166,49757,23107,28140,32390,33088,14396,17890,38847,42386,32076,20777,78184,66403,449562,448252,8:47 AM,MRT3 resumed normal operation at 8:47am.,South Bound,Ayala Avenue - Magallanes,CAT 1
2017-05-12,,,0,74941,43850,34167,30068,15981,10987,38719,59125,8596,9063,17360,30141,37490,55144,21117,25174,27917,30345,13310,14554,36796,37898,32269,16968,69555,62166,428218,425483,7:12 AM,Provisional Service implemented from North Avenue to Shaw Blvd Stn & vice versa at 7:12am due to technical problem.,South Bound,Ayala Avenue - Magallanes,CAT 4
2017-05-13,,,0,51567,37313,22187,21114,10059,8380,35667,52419,4743,5996,9665,18020,29126,35293,16105,16086,27078,24506,7709,7544,26700,26613,21987,11405,57575,54274,320168,318963,10:25 AM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3
2017-05-14,,,0,37605,23353,13536,11706,7125,4481,26777,31752,2526,3513,5621,11872,18619,23680,9954,10752,18002,18702,2816,3847,15565,18727,10032,6947,41002,39157,209180,208489,4:02 PM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3
2017-05-15,,,0,78873,41372,34990,30423,17647,11505,39153,55346,8188,10306,16650,30089,35405,49230,21543,27244,30289,34246,12712,17628,32828,42296,30292,21271,79069,65208,437639,436164,3:40 PM,"Provisional service operations lifted, normal operations resumed.",North Bound,Quezon Avenue,CAT 1
2017-05-16,,,0,76958,42441,34966,31256,16671,11645,39092,57083,8689,10323,16887,29899,36800,49118,22266,27484,30644,32910,12544,18316,33942,41745,31298,20664,79019,65373,439776,438257,3:14 PM,Provisional service implemented from Shaw - Taft NB/SB due to technical problem.,North Bound,Quezon Avenue,CAT 4
2017-05-17,,,0,72971,39799,34125,31501,15893,11846,38764,55034,8099,11083,16449,30054,36890,49533,22578,27761,30621,32383,12791,17368,35750,40698,32111,20162,78429,66320,435471,433542,2:55 PM,Train unloaded passengers due to technical problem.,North Bound,Quezon Avenue,CAT 3
2017-05-18,,,0,73843,42053,33998,31188,15763,11260,39423,57175,8204,9878,16701,29601,35893,47383,22132,27018,29886,32240,13077,17459,35446,41246,30883,20070,76336,63729,431585,430300,6:28 AM,Train unloaded passengers at Shaw Blvd. Station at 6:28 AM due to technical problem.,North Bound,Shaw Boulevard,CAT 3
2017-05-19,,,0,76527,44605,35582,31518,16144,11630,40651,61297,8259,9991,17283,30292,37566,49575,22908,26908,31367,32336,13697,17597,36896,42749,32987,20369,78729,67805,448596,446672,2:15 PM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 3
2017-05-20,,,0,50625,36272,21822,20927,9552,8219,34255,49855,4773,5950,8917,17320,28025,34320,15546,15650,26621,23754,7248,7516,25237,25744,21437,11342,56297,52168,310355,309037,8:20 AM,Train unloaded pax at Cubao Stn NB at 8:20am  due to technical problem.,North Bound,Cubao,CAT 3
2017-05-21,,,1,36459,23413,13214,10907,7173,4678,27577,32103,2514,3363,4658,10366,18268,22576,9709,11100,17891,18959,2667,3776,15512,18309,9800,6754,40946,39266,206388,205570,,,,,
2017-05-22,,,4,77289,40572,34521,30119,16821,11386,36781,55560,8131,9670,16340,29144,35470,47243,20788,26648,29469,33115,12568,17397,33558,40762,29146,20520,76228,63574,427110,425710,11:16 AM,Train unloaded passengers at Quezon Station SB at 11:16 AM due to technical problem.,South Bound,Quezon Avenue,CAT 2
2017-05-23,,,12,75527,42052,34456,31372,16303,11750,38018,56642,8299,10168,16648,29745,36439,47932,21845,27173,30173,32514,13486,17383,35752,40968,31048,20356,76015,64494,434009,432549,7:20 AM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 3
2017-05-24,,,0,73436,42117,34608,31360,15836,11566,38558,56669,8153,9985,16567,29541,36452,47234,22539,27065,29826,32010,13397,17424,36053,40972,31252,19930,76685,65800,433362,431673,9:32 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-05-25,,,0,73687,41753,33965,30920,15669,11656,38405,56689,8221,10246,16335,29371,36400,47954,21726,26738,30247,31546,13304,17312,36035,40902,30816,19867,75580,64002,430390,428956,,,,,
2017-05-26,,,1,75702,44563,35600,31869,16572,11778,41442,62745,8768,10446,17752,30392,37975,49393,23067,26823,31208,32524,13856,17601,37565,42598,33130,20538,78355,68007,450992,449277,10:13 AM,Train unloaded pax at 10:13am at GMA Kamuning Stn NB due to technical problem.,North Bound,GMA Kamuning,CAT 3
2017-05-27,,,2,50588,35074,21672,20774,9883,8247,34607,50264,4546,5897,9024,17632,27572,34440,15592,15671,26016,23749,7117,7186,25266,25816,20802,11221,56321,51751,309006,307722,8:30 AM,Train unloaded pax at Ortigas Stn SB at 8:30am due to technical problem.,South Bound,Ortigas,CAT 3
2017-05-28,,,33,36147,22469,13136,11184,7171,4489,26337,30742,2501,3452,4756,10558,17978,22627,9669,10863,18024,18422,2677,3701,15053,18217,9518,6600,40358,39288,203325,202612,10:06 PM,Train unloaded passengers at Santolan NB at 10:06PM due to technical problem.,North Bound,Santolan Anapolis,CAT 3
2017-05-29,,,2,71332,39881,32232,29831,16827,11186,37459,54274,8144,9856,15863,27324,34983,45308,20272,26051,28924,31946,12331,16284,33351,39012,28837,20102,75184,62998,415739,414053,12:36 PM,"Train experienced technical problem, unloaded passengers.",South Bound,Boni Avenue,CAT 2
2017-05-30,,,74,76264,44155,34892,31512,16649,11796,39908,58115,8536,10184,17152,30329,36255,48620,21937,27630,31088,33099,13781,17524,36714,42062,31736,20324,76800,64879,441712,440229,,,,,
2017-05-31,,,0,76092,45189,35691,32001,16716,12078,41371,59139,8525,10755,16798,30812,38037,49701,23754,28410,32575,33706,13654,17569,37487,42688,31977,20652,79859,68299,452536,450999,8:12 PM,Train unloaded passengers at Boni Ave. Station SB at 8:12 PM due to technical problem.,South Bound,Boni Avenue,CAT 3
2017-06-01,,,0,75721,44512,35037,31874,16320,11895,41651,59041,8551,10527,16814,30185,37921,49759,23303,28163,31862,33135,13633,17574,37941,42551,31839,20353,77437,66697,448030,446266,6:54 PM,Train unloaded passengers at Ortigas Station NB at 6:54 pm due to technical problem.,North Bound,Ortigas,CAT 3
2017-06-02,,,0,74082,45319,33145,31310,16142,11978,39700,63503,8563,10231,17389,29246,37915,48557,23253,27055,32890,32362,14262,16818,38990,42608,33388,20117,78623,67307,448342,446411,3:00 PM,Normal operation at Ayala Station resumed.,South Bound,Ayala Avenue,CAT 1
2017-06-03,,,0,51934,36726,22453,21576,10171,8418,35711,51387,4881,6373,9010,17411,28527,35424,16153,16092,27793,25029,7380,7300,26524,27292,21642,12080,57672,53397,319851,318505,,,,,
2017-06-04,,,12,36173,22571,13196,11225,7152,4497,26568,31063,2463,3357,4644,10245,18164,22447,9750,11321,18035,18725,2747,3700,15720,19009,9534,6803,39816,38022,203962,202985,1:55 PM,Trains not stopping at Ayala Station NB/SB due to thick smoke at unpaid area.,North Bound,Ayala Avenue,CAT 1
2017-06-05,,,0,75391,39422,33905,29549,16554,11033,38431,53701,7600,9916,15346,28635,34410,47095,20823,27336,29212,33440,12837,18525,30829,37866,29114,20757,74392,60269,418844,417544,6:09 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3
2017-06-06,,,0,74346,43073,34036,31695,15942,11821,38969,57794,8147,10140,16904,29402,36918,48679,22242,27677,30962,32799,14109,17558,37342,41018,32213,20711,74728,63305,436858,435672,,,,,
2017-06-07,,,8,73187,44412,33821,31430,16411,11933,39802,58567,8343,9919,17614,29800,37076,48342,22494,27615,31382,32967,14345,17627,37719,41093,32340,20384,76429,65435,440963,439524,2:27 PM,Train unloaded pax at 2:27pm at Cubao Stn NB due to technical problem.,North Bound,Cubao,CAT 2
2017-06-08,,,2,72772,42950,33947,31467,16589,11944,39411,57299,8265,10327,16709,30136,36738,48261,22376,27629,31052,32605,14095,17364,37565,40909,31419,20179,73580,61925,434518,432995,5:05 PM,Train unloaded pax at Cubao Stn NB due to technical problem.,North Bound,Cubao,CAT 2
2017-06-09,,,38,75404,46874,35521,32706,17482,12513,42273,65497,8979,10505,18292,31431,39181,50749,23709,28068,32333,33357,15070,18090,40415,43185,35083,20683,77706,66485,461448,460143,,,,,
2017-06-10,,,18,48697,34496,21107,20031,9759,8056,32973,50139,4555,6007,8497,17238,26835,33568,15090,15040,25699,22900,7052,7061,24720,24631,20903,10879,53727,48458,299614,298504,,,,,
2017-06-11,,,18,32304,21317,12476,10463,5990,4079,23644,28885,2280,3272,4403,9826,16291,20433,8761,9379,16431,16104,2687,3336,14649,17357,8878,5888,35528,33409,184322,183748,2:17 PM,Train unloaded pax at GMA Kamuning Stn NB at 2:17 PM due to technical problem.,North Bound,GMA Kamuning,CAT 3
2017-06-12,1, Independence Day,0,33439,16972,11745,9180,6336,3199,20065,23615,2064,2898,3954,10348,14116,19599,7451,10275,13297,15141,2389,4341,12202,17120,8102,6799,31601,26723,166761,166210,1:26 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-06-13,,,0,72600,38717,33071,28600,17108,11064,36484,52867,8143,12291,16764,29176,36795,53302,21585,27636,30370,32952,14118,17548,36209,40693,31909,20778,75806,62514,430962,428138,11:40 AM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3
2017-06-14,,,0,74377,38350,33559,28356,16907,10791,38627,51693,8309,10263,15456,29485,32973,46679,20757,25744,29349,31813,11185,17311,28088,40560,27982,19968,75110,60076,412679,411089,11:40 AM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3
2017-06-15,,,3,63564,35044,29461,26065,15174,9961,32241,48474,7655,8860,15149,26148,31548,41410,18241,23218,25881,28416,11212,15327,27149,35851,26903,18393,69091,54434,373269,371601,3:30 PM,Train unloaded pax at Santolan Stn SB at 3:44pm by reverse movement due to technical problem.,South Bound,Santolan Anapolis,CAT 4
2017-06-16,,,0,69893,41748,32684,29526,15912,11468,39599,59052,8249,10507,16394,29865,35931,48044,21940,26143,30925,31753,13494,16091,35545,39504,32587,19461,73952,62595,427105,425757,10:04 AM,"Train experienced technical problem, unloaded passengers at Quezon Ave Station NB 10:06am.",North Bound,GMA Kamuning - Quezon Avenue,CAT 2
2017-06-17,,,0,51238,36586,21663,20920,10216,8172,35045,51847,4714,6299,9426,18617,28454,35574,15774,15813,27167,24415,7494,7611,25365,25560,22151,11615,56611,51451,315318,314480,,,,,
2017-06-18,,,0,35438,22447,12959,10858,6956,4380,24922,29394,2442,3393,4778,10539,17354,21796,9444,10657,17461,18344,2681,3541,14512,17471,9241,6776,37373,35399,195561,194995,,,,,
2017-06-19,,,23,74636,40834,33742,29655,18076,11653,39979,54387,8376,10416,16218,29304,35000,48553,21284,27880,30233,34621,13165,17347,33945,40813,29971,20720,75025,62268,429650,428451,6:26 AM,Train unloaded passengers due to technical problem.,South Bound,Ortigas,CAT 3
2017-06-20,,,10,71521,42989,32915,30868,16688,11733,38698,56420,8662,10108,17290,29757,36601,49062,22562,28732,30642,32865,14129,17728,37071,39941,32789,19816,72741,61018,432309,431037,9:48 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-06-21,,,1,72529,43320,34533,31510,17060,12028,40460,58114,8480,10372,17270,30828,36216,49350,22832,28611,31931,33718,14016,17445,37107,41186,33433,20475,76887,64534,442754,441491,,,,,
2017-06-22,,,3,71208,42116,34671,31234,17486,11715,39758,56666,8393,10419,17114,30469,35156,48040,22493,28297,30580,32933,13343,17355,37257,40859,31794,20141,74872,62931,434125,433175,7:15 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3
2017-06-23,,,0,74921,43855,35977,31331,18077,12153,41543,62552,8792,10753,17937,32364,36627,50274,23014,27864,31642,32866,13359,17794,35766,42655,34987,20654,78975,64879,451617,449994,6:47 AM,Provisional Service lifted and normal operation resumed at 6:47 am.,North Bound,Cubao - GMA Kamuning,CAT 1
2017-06-24,,,3,51340,36336,22587,21607,10821,8364,35166,52209,4465,6098,9319,18524,27872,35412,15909,16403,27408,24507,7311,7203,25787,25498,22478,11959,55483,50910,315946,315030,,,,,
2017-06-25,,,0,34016,22598,12980,11364,6138,4333,25085,30612,2368,3360,4519,10304,17164,21499,9206,10082,17353,17114,2806,3484,15254,18047,9790,6517,38400,35293,195079,194607,,,,,
2017-06-26,1, Eid'l Fitr,0,45830,22964,16402,12968,8595,4298,26694,31529,2630,3948,6081,14467,18329,26387,9933,13919,16965,20365,3237,5862,15928,22601,11614,9443,42291,35301,224529,224052,,,,,
2017-06-27,,,23,76686,42848,36644,32145,19651,11942,41524,58405,9158,11376,17141,31589,36621,51192,22607,29970,31585,35643,14259,18387,36408,42610,33317,21436,78642,65734,454243,453277,,,,,
2017-06-28,,,7,72104,43692,34142,32476,17882,12076,40823,58489,9059,10512,18031,30984,36231,48846,22448,28484,31208,33575,13805,17482,37314,40741,33511,20425,76669,64342,443227,442124,5:57 AM,Provisional Service implemented from Shaw Blvd to Taft Ave Stn and vice versa at 5:57am.,North Bound,Cubao - GMA Kamuning,CAT 4
2017-06-29,,,2,66543,41374,32061,30072,17162,11799,38498,56444,8607,10065,16661,29420,35851,49518,22048,27581,29963,32095,14115,16410,37105,39623,32250,19484,74930,60846,425794,424731,7:46 AM,Normal operation resumed at 7:46AM from North Ave. Station to Taft Ave. Station. ,South Bound,Boni Avenue - Guadalupe,CAT 1
2017-06-30,,,10,78049,47492,37245,33318,20313,13189,45081,67327,10112,11480,21350,34072,40368,53146,24587,29567,34194,35608,15979,18232,40818,44768,35341,21749,80994,72883,484431,482831,7:19 AM,Service interruption at Boni Station SB at 7:19 AM due to technical problem.,South Bound,Boni Avenue,CAT 4
2017-07-01,,,1,53934,38353,23150,22347,10984,8841,37152,54709,5060,6670,9714,19566,29859,37795,16997,17379,28404,26130,7738,7461,26887,26679,23581,12151,59001,53524,332461,331605,8:35 AM,Service interruption experienced due to Signaling problem.,South Bound,North Avenue - Quezon Avenue,CAT 4
2017-07-02,,,34,36244,22035,12896,10889,6912,3895,25876,30713,2480,3494,4737,10321,17544,22369,9520,11172,17441,18525,2671,3642,14875,18039,9316,6740,38377,36604,198889,198438,,,,,
2017-07-03,,,29,75913,41301,35730,30651,19794,11990,40289,56658,9032,11087,16316,30876,35811,50274,21959,28950,31278,35851,13850,17881,35587,42025,30730,21676,77954,64158,444243,443378,5:29 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 2
